# S2 — soak: 1h0m0s, zero drift in steady state

3 publishers, 1500 events/sec, 150000 distinct keys, real Redis 7.4,
real materializer. Sampled every 1m0s.

t        drift   suspect  coverage  keys      goroutines  rss_mib  sweep_p99
1m0s     0       0        0.4667    89930     13          140      100ms
2m0s     0       0        0.8790    150000    13          287      2.5s
3m0s     0       0        0.9999    150000    13          401      2.5s
4m0s     0       0        0.9999    150000    13          512      2.5s
5m0s     0       0        0.9999    150000    13          681      2.5s
6m0s     0       0        0.9999    150000    13          789      2.5s
7m0s     0       0        0.9999    150000    13          877      2.5s
8m0s     0       0        0.9999    150000    13          1031     2.5s
9m0s     0       0        0.9999    150000    13          1238     2.5s
10m0s    0       0        0.9999    150000    13          1280     2.5s
11m0s    0       0        0.9999    150000    13          1418     2.5s
12m0s    0       0        0.9998    150000    13          1426     2.5s
13m0s    0       0        1.0000    150000    13          1487     2.5s
14m0s    0       0        0.9999    150000    13          1498     2.5s
15m0s    0       0        0.9999    150000    13          1600     2.5s
16m0s    0       0        0.9999    150000    13          1862     2.5s
17m0s    0       0        0.9999    150000    13          2110     2.5s
18m0s    0       0        0.9999    150000    13          2383     2.5s
19m0s    0       0        0.9999    150000    13          2534     2.5s
20m0s    0       0        0.9999    150000    13          2510     2.5s
21m0s    0       0        0.9999    150000    13          2631     2.5s
22m0s    0       0        0.9999    150000    13          2685     2.5s
23m0s    0       0        0.9999    150000    13          2740     2.5s
24m0s    0       0        0.9999    150000    13          2740     2.5s
25m0s    0       0        0.9999    150000    13          2771     2.5s
26m0s    0       0        0.9999    150000    13          2849     2.5s
27m0s    0       0        1.0000    150000    13          2884     2.5s
28m0s    0       0        0.9999    150000    13          2884     2.5s
29m0s    0       0        0.9999    150000    13          2946     2.5s
30m0s    0       0        0.9999    150000    13          3001     2.5s
31m0s    10      0        0.9999    150000    13          2644     2.5s
32m0s    0       0        0.9999    150000    13          3003     2.5s
33m0s    0       0        0.9999    150000    13          3005     2.5s
34m0s    0       0        0.9999    150000    13          3005     2.5s
35m0s    0       0        0.9999    150000    13          3006     2.5s
36m0s    0       0        0.9999    150000    13          3010     2.5s
37m0s    0       0        1.0000    150000    13          3010     2.5s
38m0s    0       0        0.9999    150000    13          3010     2.5s
39m0s    0       0        0.9999    150000    13          3010     2.5s
40m0s    0       0        0.9999    150000    13          3010     2.5s
41m0s    0       0        0.9999    150000    13          3010     2.5s
42m0s    0       0        0.9999    150000    13          3010     2.5s
43m0s    0       0        0.9999    150000    13          3048     2.5s
44m0s    0       0        0.9999    150000    13          3045     2.5s
45m0s    0       0        0.9999    150000    13          3045     2.5s
46m0s    0       0        0.9999    150000    13          3045     2.5s
47m0s    0       0        0.9999    150000    13          3045     2.5s
48m0s    0       0        1.0000    150000    13          3045     2.5s
49m0s    0       0        0.9999    150000    13          3045     2.5s
50m0s    0       0        0.9999    150000    13          3045     2.5s
51m0s    0       0        0.9999    150000    13          3045     2.5s
52m0s    0       0        1.0000    150000    13          3045     2.5s
53m0s    0       0        0.9999    150000    13          3045     2.5s
54m0s    0       0        0.9999    150000    13          3045     2.5s
55m0s    0       0        0.9999    150000    13          3045     2.5s
56m0s    0       0        0.9999    150000    13          3045     2.5s
57m0s    0       0        0.9999    150000    13          3045     2.5s
58m0s    0       0        1.0000    150000    13          145      2.5s
59m0s    0       0        0.9999    150000    13          2130     2.5s
1h0m0s   0       0        0.9999    150000    13          2997     2.5s

events applied: 5388510
events dropped: 0
